graph,vertices,edges,loading,traversing,deleting
148,26300,41500,61.5844,2.6422,10.1051
149,26300,41500,64.7658,2.396,9.0359
150,26300,41500,72.8701,3.0678,9.8963
151,15783,24663,44.743,3.525,3.7064
152,13590,21240,40.9357,1.7795,1.7735
153,29076,45570,92.4297,3.1622,16.6507
154,15783,24663,45.7962,1.9647,3.6716
155,26300,41500,84.6984,2.7013,9.9004
156,450,17809,19.9449,0.3039,0.1318
157,2980,5360,8.2968,0.4959,0.1418
158,15783,24663,46.0481,1.9657,3.9777
159,18096,28281,55.9647,2.1994,4.4431
160,18096,28281,57.3945,2.2051,4.363
161,138141,227241,1821.89,21.0567,129.739
162,50635,83075,386.178,7.0972,34.0117
163,18096,28281,61.3689,2.4801,5.5497
164,29296,46040,119.428,3.2323,13.2153
165,18096,28281,61.3306,2.5267,4.9136
166,3278,5896,11.0745,0.5634,0.1837
167,15783,24663,57.6582,2.61,4.4668
168,2980,5360,10.2042,0.5264,0.164
169,4768,8576,16.0362,0.6545,0.2908
170,15783,24663,71.2243,2.1234,2.9891
171,18096,28281,69.2426,2.4876,4.4503
172,4025,7435,13.1117,1.8661,0.3491
173,56860,77264,399.447,9.9905,31.4357
174,2980,5360,5.4848,0.2562,0.1194
175,3523,6446,7.8044,0.5956,0.1559
176,15783,24663,48.2769,1.5425,3.8422
177,5066,9112,10.5732,0.7268,0.2166
178,18096,28281,45.9677,2.0318,4.1596
179,15783,24663,45.8646,1.6817,2.5314
180,15783,24663,32.2717,1.8024,3.6975
181,18096,28281,41.5182,1.8651,4.4017
182,26300,41500,86.3244,2.5954,10.448
183,72420,118362,557.975,10.9454,55.3315
184,6290,11560,18.8939,0.8048,0.5914
185,3523,6446,9.8939,0.4258,0.1741
186,26300,41500,84.3274,2.6048,17.768
187,4227,7734,16.7871,0.771,0.2176
188,6660,12240,20.8725,1.1389,2.1505
189,7400,13600,17.6249,0.8755,0.3466
190,3875,7090,7.9599,1.93,0.2208
191,4579,8378,9.5276,1.5193,0.3171
192,2980,5360,10.5317,0.4192,0.3252
193,7030,12920,27.1676,1.1406,1.1411
194,1150,80851,93.3847,0.8543,0.735
195,1150,81068,93.48,0.9224,0.7425
196,1534,126082,145.365,1.1459,1.2529
197,1534,127011,132.949,0.8575,0.8875
198,1150,80072,57.9222,0.7185,0.4971
199,1534,126163,92.4235,0.8483,0.8249
200,1150,80258,58.0913,0.688,0.4753
