graph,vertices,edges,loading,traversing,deleting
1,6160,40207,36.5629,1.0692,0.6117
2,51795,63334,177.598,6.9367,11.1239
3,60541,74220,241.889,8.361,14.6366
4,8114,26013,27.7416,1.2142,1.3139
5,200,819,0.9824,0.2579,0.0073
6,200,751,0.8086,0.1916,0.0079
7,8794,10130,16.4202,0.7399,0.3129
8,7537,72833,66.979,1.4364,1.4598
9,38452,174645,256.818,6.6467,31.9803
10,199,774,0.9052,0.1869,0.0075
11,9877,25973,36.3324,2.6767,2.1125
12,53444,68044,266.06,9.7005,11.8443
13,45307,55440,189.338,7.2494,8.9512
14,25123,31552,59.7955,5.2977,3.2948
15,53610,65952,271.279,9.2337,14.0721
16,153,802,1.205,0.2442,0.01
17,23541,51747,107.434,2.9821,11.2263
18,49212,63601,227.132,8.2066,11.7775
19,200,884,1.3555,0.166,0.0108
20,57287,71155,312.895,9.8717,13.4266
21,24765,30242,62.2932,4.1947,3.6714
22,12589,33129,66.8847,1.6745,1.9028
23,27717,133665,258.716,5.3763,21.258
24,7620,47293,66.2318,1.6026,1.2077
25,23194,28221,53.9327,3.5959,4.3355
26,6140,36767,52.8079,1.4426,0.8308
27,65866,81245,448.867,11.1285,17.5056
28,54991,67000,255.752,8.5977,12.6143
29,13431,21999,41.7451,1.5962,1.2577
30,62853,79557,333.916,10.495,15.3357
31,200,813,1.1692,0.2332,0.0104
32,1490,2680,3.8481,0.2846,0.0545
33,4410,6885,9.898,0.3505,0.1924
34,1490,2680,3.8262,0.4513,0.0759
35,200,884,1.2305,0.2319,0.0109
36,26300,41500,79.1337,3.0466,14.3019
37,198,824,1.2351,0.1523,0.0096
38,786,14024,15.1953,0.2708,0.1145
39,6795,10620,18.2497,0.8463,0.4091
40,210,625,0.9658,0.1556,0.0071
41,200,1040,1.3059,0.1541,0.0107
42,200,974,1.2415,0.1554,0.0103
43,200,841,1.0768,0.1534,0.0092
44,200,1186,1.5097,1.7761,0.0897
45,200,1044,1.9739,0.4247,0.0291
46,200,812,1.3264,0.2326,0.0102
47,200,1120,1.442,0.2349,0.0122
48,200,1052,1.3831,0.2359,0.0124
49,200,957,1.226,0.2343,0.0115
50,200,1048,1.3255,0.2354,0.0118
51,200,1135,1.6181,1.8037,0.023
52,200,1019,1.969,0.3558,0.0269
53,200,1062,1.8166,0.2364,0.0121
54,200,985,1.273,0.2373,0.0114
55,200,958,1.2225,0.2342,0.0119
56,200,1117,1.4021,0.2348,0.0124
57,200,1200,1.4917,0.2352,0.0127
58,200,1202,3.5573,1.8507,0.0374
59,200,988,4.8245,0.4754,0.0319
60,200,1147,4.4551,2.7789,0.034
61,200,952,3.7828,0.5345,0.0485
62,199,1164,4.5504,0.6132,0.0373
63,200,1040,4.1164,1.3899,0.0364
64,200,1071,4.2341,0.7642,0.0741
65,200,1037,4.2456,0.6088,0.0345
66,200,884,3.6155,0.635,0.0317
67,200,1201,4.6809,0.7498,0.0611
68,200,983,4.1035,3.5273,0.0432
69,200,1120,4.2624,0.5982,0.0361
70,200,887,3.9213,0.6456,0.032
71,200,984,3.9823,0.695,0.0327
72,200,1204,4.6503,0.4324,0.0343
73,200,1107,4.3818,0.4856,0.0332
74,200,820,3.5542,1.1109,0.0274
75,26300,41500,129.264,2.1843,8.9732
76,26300,41500,58.3548,2.928,9.4333
77,200,988,1.1363,0.1595,0.0092
78,11349,17739,23.5931,1.123,1.7063
79,26300,41500,65.268,2.4809,8.9806
80,26300,41500,65.3562,2.9204,12.2136
81,199,1124,1.3612,0.3716,0.0112
82,200,978,1.1645,0.3607,0.0106
83,200,1215,1.456,0.4043,0.0158
84,13590,21240,45.0574,3.1772,3.0063
85,11470,17408,45.6566,1.6625,2.6415
86,26300,41500,61.5452,2.8793,9.4889
87,13590,21240,28.7058,1.6019,1.1922
88,26300,41500,91.0948,2.3823,9.1238
89,57316,77978,239.187,8.4024,33.5286
90,11349,17739,21.4854,0.8751,1.2229
91,200,1196,1.2053,0.1181,0.0077
92,450,17794,12.8065,0.253,0.0806
93,200,1207,1.0818,0.1155,0.008
94,5960,10720,13.662,0.9331,0.2512
95,15783,24663,41.6546,1.8824,2.0183
96,26300,41500,85.5611,2.5715,12.2678
97,18096,28281,76.1104,1.9295,2.785
98,26300,41500,73.3274,2.9876,11.6809
99,26300,41500,62.0778,2.6093,9.6413
100,26300,41500,62.6827,2.6848,9.3079
101,26300,41500,61.3162,2.3785,8.8668
102,26300,41500,62.6025,2.6714,11.0935
103,15783,24663,44.5479,5.296,3.0476
104,26300,41500,84.6035,2.6421,16.2354
105,26300,41500,82.5177,2.7792,11.0882
106,2980,5360,10.5543,0.4976,0.1445
107,13590,21240,39.4816,3.7466,1.7096
108,26300,41500,86.6535,2.4319,9.2851
109,66992,90970,315.8,9.661,41.8073
110,98128,161357,797.303,14.5154,84.8821
111,450,17831,19.1816,0.3022,0.1236
112,18096,28281,57.5809,2.3965,4.524
113,26300,41500,85.6675,2.8057,10.2739
114,15783,24663,46.6483,2.1322,3.0287
115,18096,28281,54.1013,2.1007,3.5128
116,26300,41500,81.6667,2.7498,10.5935
117,18096,28281,53.6028,2.3455,3.8443
118,26300,41500,82.3979,2.9249,9.8131
119,18096,28281,53.2259,2.375,4.6783
120,70144,116378,520.244,9.9914,49.0506
121,18096,28281,38.2986,1.848,3.3901
122,26300,41500,66.1604,2.4924,10.53
123,26300,41500,57.9746,2.6536,8.476
124,26300,41500,67.1719,2.9462,15.0374
125,26300,41500,82.8052,2.7172,11.3129
126,18096,28281,58.3891,2.236,4.7144
127,18096,28281,55.4353,2.2741,5.7994
128,26300,41500,86.3698,2.7887,14.0316
129,15783,24663,84.605,1.9791,2.5399
130,26300,41500,68.6721,2.6442,16.2535
131,2980,5360,12.8523,0.6509,0.2185
132,15783,24663,57.8698,1.7362,3.1721
133,15783,24663,41.526,2.6883,1.7821
134,26300,41500,70.3766,2.748,15.1782
135,26300,41500,76.8217,2.6514,9.2614
136,18096,28281,38.9054,1.9453,4.4
137,26300,41500,60.0891,2.5384,10.2314
138,18096,28281,41.7993,2.3075,6.0109
139,18096,28281,41.8787,2.2264,4.0885
140,26300,41500,95.8794,2.5018,9.0312
141,18096,28281,53.2168,2.2324,4.4331
142,2980,5360,18.2238,1.491,0.3182
143,18096,28281,91.0315,2.1724,5.396
144,26300,41500,66.2901,2.2857,10.9927
145,18096,28281,40.5556,2.208,8.2983
146,26300,41500,61.5155,2.4687,9.1015
147,18096,28281,38.8373,4.6508,5.1831
