graph,vertices,edges,loading,traversing,deleting
1,6160,40207,41.9236,2.4332,8.6543
2,51795,63334,60.1722,5.6495,15.7541
3,60541,74220,72.9033,6.1194,22.1933
4,8114,26013,26.2099,1.86,7.7519
5,200,819,1.6085,0.3469,0.1486
6,200,751,0.9793,0.1613,0.1175
7,8794,10130,11.4912,3.5522,2.0162
8,7537,72833,126.84,4.6765,23.7161
9,38452,174645,275.831,17.3427,88.6065
10,199,774,0.8565,0.1358,0.1221
11,9877,25973,25.9146,2.0785,4.8344
12,53444,68044,67.5209,5.1438,10.2614
13,45307,55440,52.2808,4.8539,11.511
14,25123,31552,73.7602,3.9223,7.1306
15,53610,65952,62.8424,6.1126,16.1133
16,153,802,0.9552,0.2098,0.2042
17,23541,51747,59.9721,2.7062,11.031
18,49212,63601,61.6323,5.6761,15.4528
19,200,884,1.0253,0.1404,0.1307
20,57287,71155,68.2665,5.7512,14.9984
21,24765,30242,27.9838,3.1276,7.018
22,12589,33129,40.9678,1.4995,3.9257
23,27717,133665,134.959,12.5003,62.2778
24,7620,47293,45.7161,4.202,10.7964
25,23194,28221,25.5429,2.356,12.1939
26,6140,36767,36.0871,6.1778,8.7829
27,65866,81245,79.1148,6.6959,10.226
28,54991,67000,64.3061,5.3703,11.78
29,13431,21999,21.9685,1.015,9.2999
30,62853,79557,78.901,6.7229,21.5802
31,200,813,0.9699,0.1441,0.1413
32,1490,2680,2.3701,0.2076,0.3426
33,4410,6885,6.1228,1.6188,1.3164
34,1490,2680,2.7838,0.2991,0.3545
35,200,884,0.8819,0.2129,0.1377
36,26300,41500,81.4814,4.6827,11.8954
37,198,824,1.7249,0.2789,0.1425
38,786,14024,13.985,1.9262,3.5348
39,6795,10620,9.5027,0.6799,2.9706
40,210,625,0.7245,0.2709,0.0884
41,200,1040,1.0457,0.2961,0.1551
42,200,974,0.9869,0.3023,0.145
43,200,841,0.8772,0.3513,0.1386
44,200,1186,1.2456,0.3456,0.1882
45,200,1044,1.0887,0.2797,0.1561
46,200,812,0.9255,5.3982,0.9345
47,200,1120,4.9979,0.7553,0.7633
48,200,1052,4.4441,0.735,0.716
49,200,957,4.48,0.7373,0.6259
50,200,1048,4.6763,1.0857,0.6849
51,200,1135,4.6975,0.7289,0.7386
52,200,1019,4.2952,2.4148,0.708
53,200,1062,4.5599,0.7856,0.7032
54,200,985,4.7225,3.2726,0.7008
55,200,958,4.0846,0.7068,0.7181
56,200,1117,4.9321,3.4584,0.7953
57,200,1200,5.1868,0.7843,0.8077
