graph,vertices,edges,loading,traversing,deleting
58,200,1202,5.6289,1.4199,0.8013
59,200,988,4.3197,0.6936,0.6385
60,200,1147,5.2254,2.5392,0.8055
61,200,952,4.03,0.7163,0.6244
62,199,1164,5.1504,4.3777,0.8701
63,200,1040,4.4367,0.7154,0.675
64,200,1071,4.9175,3.1872,0.7521
65,200,1037,4.3838,0.7261,0.6817
66,200,884,3.9874,4.7056,0.6386
67,200,1201,5.2273,0.7529,0.8125
68,200,983,4.9429,1.5967,0.6729
69,200,1120,4.7516,0.7286,0.7316
70,200,887,3.8988,2.6251,0.7441
71,200,984,4.6667,0.7152,0.6183
72,200,1204,5.27,2.107,0.9342
73,200,1107,4.9905,0.7269,0.7209
74,200,820,3.4639,3.7147,0.6368
75,26300,41500,102.669,3.2607,14.9607
76,26300,41500,44.8333,4.0117,15.8083
77,200,988,1.1622,0.1875,0.1793
78,11349,17739,18.0781,1.0605,3.8303
79,26300,41500,44.5407,3.0937,11.9519
80,26300,41500,43.9026,3.6466,15.2628
81,199,1124,1.1928,0.1415,0.1802
82,200,978,0.9598,0.1368,0.1487
83,200,1215,1.1735,0.1406,0.1836
84,13590,21240,22.0545,1.0557,4.4159
85,11470,17408,17.3994,1.1982,8.1672
86,26300,41500,43.5986,3.4654,12.9329
87,13590,21240,22.1659,2.0042,8.9438
88,26300,41500,43.7879,5.3188,14.5073
89,57316,77978,79.4199,9.023,30.6428
90,11349,17739,16.9461,0.9188,2.7336
91,200,1196,1.2274,0.1462,0.1786
92,450,17794,17.3968,0.7219,4.0128
93,200,1207,1.6044,0.2932,0.186
94,5960,10720,10.5939,1.265,1.9667
95,15783,24663,26.9007,2.9677,6.5756
96,26300,41500,43.6868,3.8121,14.8355
97,18096,28281,28.7735,2.0593,7.3146
98,26300,41500,43.8152,3.7472,11.5493
99,26300,41500,44.278,2.803,14.2189
100,26300,41500,42.7933,5.6484,14.6174
101,26300,41500,43.2657,3.6379,11.5988
102,26300,41500,44.1831,2.5305,12.881
103,15783,24663,25.0105,1.582,5.9614
104,26300,41500,45.5552,2.9718,11.1403
105,26300,41500,43.5963,3.5073,13.2897
106,2980,5360,6.4629,0.6209,0.7698
107,13590,21240,61.3246,2.736,4.9173
108,26300,41500,48.7736,3.2276,14.9909
109,66992,90970,122.434,10.6048,38.2764
110,98128,161357,164.669,15.4642,72.916
111,450,17831,16.8273,1.1776,3.9769
112,18096,28281,50.351,2.4486,7.64
113,26300,41500,47.8456,3.3237,12.0734
114,15783,24663,24.9766,1.609,10.6948
115,18096,28281,29.0146,2.6793,10.83
116,26300,41500,46.3749,3.7712,13.2941
117,18096,28281,28.7952,2.521,7.3296
118,26300,41500,43.8549,3.4507,14.9201
119,18096,28281,28.1688,2.0344,8.2725
120,70144,116378,124.8,12.303,50.163
121,18096,28281,26.8239,1.593,10.6267
122,26300,41500,45.3256,4.4179,13.9701
123,26300,41500,41.8811,3.4884,11.6942
124,26300,41500,44.1927,3.8222,11.3305
125,26300,41500,43.9436,4.0726,15.8718
126,18096,28281,49.5719,2.5801,10.6879
127,18096,28281,35.9457,2.4734,9.3272
128,26300,41500,82.6433,2.7949,11.3263
129,15783,24663,26.3455,1.9765,5.967
130,26300,41500,39.9635,3.632,19.0975
131,2980,5360,4.9459,0.3497,0.7335
132,15783,24663,23.6443,2.4472,7.6792
133,15783,24663,25.4881,3.3206,11.4068
134,26300,41500,42.0614,6.359,14.8095
135,26300,41500,42.2882,3.5711,11.4736
136,18096,28281,31.1786,2.7914,5.6935
137,26300,41500,41.7361,3.1161,11.2995
138,18096,28281,30.4703,4.0185,12.3542
139,18096,28281,30.344,2.6887,8.5708
140,26300,41500,41.745,2.7551,11.4927
141,18096,28281,33.0702,2.2961,6.0082
142,2980,5360,5.1401,0.4355,0.7429
143,18096,28281,30.2968,2.6126,7.0508
144,26300,41500,42.0977,3.4328,11.4673
145,18096,28281,31.0372,2.5718,4.8871
146,26300,41500,43.2095,5.7538,15.209
147,18096,28281,38.9445,3.9352,13.3515
148,26300,41500,49.3928,2.9699,28.6902
149,26300,41500,101.035,2.6748,33.2078
150,26300,41500,72.4852,2.7949,13.051
151,15783,24663,26.1109,1.5797,5.748
152,13590,21240,20.9724,6.0738,5.2373
153,29076,45570,50.8996,3.3687,15.3523
154,15783,24663,25.4334,2.8181,11.6135
155,26300,41500,46.2008,3.6837,12.4402
156,450,17809,16.7708,0.7175,5.2849
157,2980,5360,5.7377,0.4232,0.738
158,15783,24663,27.1144,3.3955,5.4844
159,18096,28281,26.9038,2.5498,7.0522
160,18096,28281,29.3698,2.541,7.1087
161,138141,227241,235.571,24.1633,106.251
162,50635,83075,85.4659,7.1594,32.0104
163,18096,28281,26.7641,1.7925,16.5746
164,29296,46040,47.3373,4.0812,13.0433
165,18096,28281,28.3099,1.7527,8.3271
166,3278,5896,8.4661,0.6524,1.3134
167,15783,24663,39.6705,2.486,6.8608
168,2980,5360,7.7374,0.5631,1.1787
169,4768,8576,12.5444,0.9999,1.9642
170,15783,24663,39.8944,4.6195,7.9286
171,18096,28281,43.0299,5.3437,8.6689
172,4025,7435,10.9431,0.6505,1.6732
173,56860,77264,119.762,10.0922,33.5587
174,2980,5360,7.3193,0.5415,1.1385
175,3523,6446,9.4615,0.7,1.3852
176,15783,24663,36.6188,6.156,7.2816
177,5066,9112,12.441,2.1627,2.4169
178,18096,28281,43.2017,5.5808,8.9217
179,15783,24663,36.3346,2.1443,7.2871
180,15783,24663,38.4368,2.9629,9.4082
181,18096,28281,43.6057,3.273,8.6118
182,26300,41500,62.4622,3.5684,18.2701
183,72420,118362,174.871,10.2924,53.4954
184,6290,11560,15.1525,0.9147,2.4599
185,3523,6446,8.3975,0.541,1.3207
186,26300,41500,59.3589,3.1141,15.913
187,4227,7734,11.1277,1.0471,1.6243
188,6660,12240,16.1573,1.1631,2.9893
189,7400,13600,19.9169,3.722,3.1264
190,3875,7090,10.6374,0.7816,1.4695
191,4579,8378,13.8496,0.9897,2.1165
192,2980,5360,7.3339,0.937,1.4713
193,7030,12920,19.2653,2.4308,2.8918
194,1150,80851,116.99,6.7075,42.3432
195,1150,81068,115.712,6.5886,37.9049
196,1534,126082,185.585,12.159,72.5507
197,1534,127011,178.224,12.1725,71.7408
198,1150,80072,110.419,7.2425,38.3976
199,1534,126163,148.961,11.5938,66.7013
200,1150,80258,80.1542,6.4227,27.2504
