graph,loading,traversing,deleting
1,0.0495244,0.0027302,0.0074196
2,0.08366,0.0029874,0.0159741
3,0.0880949,0.0004186,0.0211729
4,0.0386937,0.0020182,0.0058733
5,0.0094584,0.0006873,0.0001726
6,0.0068749,0.0005917,7.36e-05
7,0.0197599,0.0015266,0.0016836
8,0.0820039,0.0045262,0.021239
9,0.198842,0.0164614,0.0622487
10,0.0027143,0.0004649,0.000194
11,0.0380303,0.0021924,0.0049813
12,0.087351,0.0004345,0.0146271
13,0.072547,0.0029094,0.0141898
14,0.055652,0.0017799,0.0089994
15,0.0824089,0.002957,0.0167938
16,0.0035734,0.0004238,9.11e-05
17,0.0758942,0.0026948,0.0139546
18,0.0778102,0.0026463,0.0161674
19,0.0023195,0.0002637,8.18e-05
20,0.0945573,0.0003756,0.0177236
21,0.0422142,0.0017743,0.0083992
22,0.048454,0.0015458,0.0050515
23,0.156154,0.0098815,0.0463016
24,0.0583512,0.0029454,0.0109235
25,0.0400862,0.0018034,0.008736
26,0.0474909,0.0023811,0.0079428
27,0.0996058,0.0003984,0.016927
28,0.0806148,0.0004702,0.0160808
29,0.0426409,0.0016988,0.0048313
30,0.0959032,0.0003887,0.0223509
31,0.0038328,0.0004707,0.0001185
32,0.0100583,0.0005396,0.0004922
33,0.014695,0.0008159,0.0014619
34,0.0102725,0.0006856,0.0004588
35,0.0023131,0.0007446,0.0001157
36,0.0601745,0.0031277,0.0165728
37,0.0141035,0.0003005,8.52e-05
38,0.0213876,0.0007161,0.0016785
39,0.0194125,0.0007687,0.0019353
40,0.0020901,0.0006937,8.04e-05
41,0.0016756,0.0005826,9.3e-05
42,0.00178,0.0005925,9.58e-05
43,0.0078943,0.0006338,0.0001042
44,0.0029177,0.0007409,0.0001436
45,0.0025183,0.0005986,9.53e-05
46,0.0019939,0.0005834,8.74e-05
47,0.0085345,0.000674,0.000122
48,0.0077892,0.0007732,0.0001121
49,0.0072942,0.0006203,8.21e-05
50,0.002331,0.0005439,0.0001057
51,0.0030633,0.0008479,0.0002348
52,0.0024156,0.0005935,8.44e-05
53,0.0079559,0.0007319,0.0001134
54,0.0027279,0.000838,0.0001915
55,0.0022607,0.0005969,8.13e-05
56,0.0018268,0.0005884,0.0001106
57,0.009367,0.0008524,0.0001359
58,0.0077298,0.0006274,0.0001277
59,0.0089097,0.0006269,9.32e-05
60,0.0078351,0.0006585,0.0001136
61,0.001662,0.0006673,0.0001097
62,0.0028997,0.0006347,0.0001167
63,0.0024666,0.0005851,9.83e-05
64,0.0024023,0.0005118,0.0001123
65,0.0032485,0.0005434,0.0001147
66,0.0033514,0.0004427,9.9e-05
67,0.012505,0.0006644,0.0001247
68,0.002955,0.000664,9.95e-05
69,0.0019368,0.0006786,0.000111
70,0.0120556,0.0006531,9.07e-05
71,0.0027237,0.0006808,0.0001117
72,0.0116176,0.000672,0.0001236
73,0.0079527,0.0006104,9.84e-05
74,0.0022844,0.0006544,0.0001082
75,0.0668886,0.0026778,0.0158932
76,0.0593609,0.0029595,0.0163482
77,0.0029324,0.0002513,8.79e-05
78,0.0297695,0.0014267,0.0049393
79,0.0583599,0.0029368,0.0161296
80,0.06545,0.0029356,0.0155192
81,0.0038263,0.0004627,0.0001592
82,0.002033,0.000454,9.21e-05
83,0.012696,0.0003702,9.7e-05
84,0.0649451,0.0013308,0.006182
85,0.0282976,0.0013513,0.0041819
86,0.0649874,0.0028828,0.0160508
87,0.0400741,0.0015687,0.0061462
88,0.0580374,0.0027716,0.0148763
89,0.0946853,0.0049427,0.0365848
90,0.0303322,0.0013891,0.0033152
91,0.0106588,0.000547,0.000184
92,0.0265816,0.0012171,0.0029177
93,0.0089748,0.0006016,0.0001007
94,0.0197339,0.0009877,0.0018022
95,0.0363789,0.0018273,0.0079118
96,0.0616466,0.0028343,0.0155206
97,0.0471592,0.0021644,0.0116403
98,0.0712078,0.0028502,0.0160174
99,0.0624827,0.0031523,0.0162299
100,0.0660761,0.0028012,0.0151483
101,0.058116,0.00282,0.0156167
102,0.0594202,0.0028363,0.0150334
103,0.040557,0.0020035,0.009149
104,0.0573272,0.0025784,0.0173826
105,0.0598606,0.0027851,0.0158022
106,0.0140518,0.0008859,0.0011928
107,0.0336244,0.0021185,0.0046223
108,0.0578974,0.0026901,0.0153002
109,0.111495,0.0058451,0.0460545
110,0.217828,0.0004045,0.0699226
111,0.0203846,0.0009952,0.0028961
112,0.0378057,0.0029322,0.0104439
113,0.0551292,0.004044,0.017161
114,0.0321029,0.002054,0.0060497
115,0.0348959,0.0020757,0.0112133
116,0.0501399,0.0029459,0.015567
117,0.0350011,0.0026303,0.011253
118,0.0511235,0.0027787,0.0160128
119,0.0353184,0.0022372,0.0092932
120,0.141997,0.0100311,0.0498367
121,0.0359957,0.0020937,0.0086665
122,0.0525781,0.0031255,0.0171307
123,0.0518624,0.002975,0.014799
124,0.0533408,0.0029735,0.0165725
