graph,loading,traversing,deleting
125,0.0517099,0.0026759,0.0174229
126,0.0353683,0.0017362,0.0105136
127,0.0337538,0.0021299,0.0118743
128,0.0511671,0.0029704,0.0157701
129,0.0315758,0.0022894,0.0099677
130,0.0514406,0.0028131,0.0141868
131,0.0066649,0.0009645,0.0008377
132,0.0308787,0.0016341,0.006976
133,0.0300953,0.0022768,0.0068087
134,0.0516596,0.0027252,0.0172117
135,0.0515463,0.0030396,0.015471
136,0.036252,0.0026812,0.0092618
137,0.0522397,0.0029964,0.0172917
138,0.0373495,0.0035213,0.0099399
139,0.0349832,0.0026028,0.0097504
140,0.0524609,0.0038102,0.0159628
141,0.0350232,0.0019575,0.0113622
142,0.0061101,0.0003792,0.0006485
143,0.0352885,0.0024913,0.0116333
144,0.0515059,0.0025682,0.0149887
145,0.0347045,0.0026722,0.0093853
146,0.0501442,0.0027004,0.0157359
147,0.0356535,0.0020553,0.008746
148,0.0506158,0.0028035,0.017032
149,0.0535374,0.0027252,0.0162228
150,0.0519313,0.0029347,0.0155339
151,0.0316923,0.0021525,0.0095734
152,0.0275089,0.0022003,0.0057215
153,0.0601313,0.0031998,0.0296794
154,0.0368209,0.0021201,0.0091024
155,0.0581025,0.0030336,0.0163763
156,0.0208452,0.0011477,0.0041708
157,0.0058151,0.0008739,0.0008043
158,0.0323763,0.0020349,0.0063443
159,0.0339612,0.0020782,0.0128406
160,0.0412859,0.0029714,0.0112993
161,0.28121,0.0004678,0.105231
162,0.102619,0.0004767,0.0345419
163,0.0354176,0.0026613,0.0109988
164,0.0554733,0.0022714,0.019111
165,0.0344636,0.0020794,0.0120873
166,0.0063606,0.0005823,0.0008809
167,0.0296079,0.0018976,0.0075093
168,0.0078308,0.0007363,0.0009112
169,0.0107233,0.0008529,0.0014612
170,0.0301332,0.0020787,0.0092052
171,0.0336328,0.0018363,0.0083652
172,0.0095216,0.0010872,0.0012935
173,0.0942316,0.0051027,0.0322573
174,0.007566,0.0006132,0.0007647
175,0.0073564,0.0007121,0.0009419
176,0.0301382,0.0023968,0.0060399
177,0.0098594,0.0007213,0.0013169
178,0.0356293,0.0025625,0.009831
179,0.0319202,0.0019531,0.0074904
180,0.0314084,0.0022261,0.0086479
181,0.0361157,0.0027157,0.009366
182,0.0515082,0.0027998,0.0156931
183,0.141493,0.0077833,0.0510667
184,0.0131067,0.0009735,0.0017266
185,0.0070013,0.0009982,0.0010043
186,0.0495803,0.0027307,0.0162393
187,0.0091822,0.0009255,0.0011232
188,0.012634,0.0010638,0.0037397
189,0.0163741,0.0013879,0.003644
190,0.0082385,0.0011408,0.0014764
191,0.009492,0.0007129,0.0011153
192,0.0053642,0.0005313,0.0018465
193,0.0139389,0.0013569,0.0040937
194,0.0830143,0.0056656,0.022768
195,0.0852417,0.0050549,0.0229642
196,0.130948,0.0094777,0.0368166
197,0.132009,0.0097329,0.0376251
198,0.0833127,0.0051126,0.0216083
199,0.132108,0.0092204,0.0380787
200,0.0805845,0.0055327,0.0217478
