length,deleting,Class
304,0.0001,Set
306,0.0001,Vector
306,0.0001,Set
308,0.0002,Vector
308,0.0001,Set
310,0.0002,Vector
310,0.0001,Set
312,0.0001,Vector
312,0.0001,Set
314,0.0002,Vector
314,0.0001,Set
316,0.0002,Vector
316,0.0001,Set
318,0.0002,Vector
318,0.0001,Set
320,0.0002,Vector
320,0.0001,Set
322,0.0002,Vector
322,0.0002,Set
324,0.0002,Vector
324,0.0001,Set
326,0.0002,Vector
326,0.0001,Set
328,0.0002,Vector
328,0.0001,Set
330,0.0002,Vector
330,0.0001,Set
332,0.0002,Vector
332,0.0001,Set
334,0.0002,Vector
334,0.0001,Set
336,0.0002,Vector
336,0.0001,Set
338,0.0002,Vector
338,0.0001,Set
340,0.0002,Vector
340,0.0001,Set
342,0.0002,Vector
342,0.0001,Set
344,0.0002,Vector
344,0.0001,Set
346,0.0002,Vector
346,0.0001,Set
348,0.0002,Vector
348,0.0001,Set
350,0.0002,Vector
350,0.0001,Set
352,0.0002,Vector
352,0.0001,Set
354,0.0002,Vector
354,0.0001,Set
356,0.0002,Vector
356,0.0001,Set
358,0.0003,Vector
358,0.0001,Set
360,0.0002,Vector
360,0.0001,Set
362,0.0002,Vector
362,0.0001,Set
364,0.0002,Vector
364,0.0001,Set
366,0.0002,Vector
366,0.0001,Set
368,0.0002,Vector
368,0.0001,Set
370,0.0003,Vector
370,0.0001,Set
372,0.0002,Vector
372,0.0001,Set
374,0.0002,Vector
374,0.0001,Set
376,0.0002,Vector
376,0.0001,Set
378,0.0002,Vector
378,0.0001,Set
380,0.0002,Vector
380,0.0001,Set
382,0.0002,Vector
382,0.0001,Set
384,0.0002,Vector
384,0.0001,Set
386,0.0003,Vector
386,0.0001,Set
388,0.0002,Vector
388,0.0001,Set
390,0.0002,Vector
390,0.0001,Set
392,0.0002,Vector
392,0.0001,Set
394,0.0002,Vector
394,0.0001,Set
396,0.0002,Vector
396,0.0001,Set
398,0.0002,Vector
398,0.0001,Set
400,0.0002,Vector
400,0.0001,Set
402,0.0003,Vector
402,0.0001,Set
404,0.0002,Vector
404,0.0001,Set
406,0.0002,Vector
406,0.0001,Set
408,0.0002,Vector
408,0.0001,Set
410,0.0002,Vector
410,0.0001,Set
412,0.0002,Vector
412,0.0001,Set
414,0.0002,Vector
414,0.0001,Set
416,0.0002,Vector
416,0.0002,Set
418,0.0002,Vector
418,0.0001,Set
420,0.0002,Vector
420,0.0001,Set
422,0.0002,Vector
422,0.0001,Set
424,0.0002,Vector
424,0.0001,Set
426,0.0002,Vector
426,0.0001,Set
428,0.0002,Vector
428,0.0001,Set
430,0.0003,Vector
430,0.0001,Set
432,0.0002,Vector
432,0.0002,Set
434,0.0002,Vector
434,0.0001,Set
436,0.0002,Vector
436,0.0001,Set
438,0.0002,Vector
438,0.0001,Set
440,0.0002,Vector
440,0.0001,Set
442,0.0002,Vector
442,0.0001,Set
444,0.0002,Vector
444,0.0001,Set
446,0.0002,Vector
446,0.0001,Set
448,0.0003,Vector
448,0.0001,Set
450,0.0002,Vector
450,0.0001,Set
452,0.0002,Vector
452,0.0001,Set
454,0.0003,Vector
454,0.0001,Set
456,0.0002,Vector
456,0.0001,Set
458,0.0002,Vector
458,0.0001,Set
460,0.0003,Vector
460,0.0001,Set
462,0.0002,Vector
462,0.0001,Set
464,0.0002,Vector
464,0.0001,Set
466,0.0002,Vector
466,0.0001,Set
468,0.0002,Vector
468,0.0001,Set
470,0.0003,Vector
470,0.0001,Set
472,0.0002,Vector
472,0.0001,Set
474,0.0003,Vector
474,0.0001,Set
476,0.0003,Vector
476,0.0001,Set
478,0.0002,Vector
478,0.0001,Set
480,0.0002,Vector
480,0.0001,Set
482,0.0002,Vector
482,0.0001,Set
484,0.0003,Vector
484,0.0001,Set
486,0.0002,Vector
486,0.0001,Set
