graph,vertices,edges,loading,traversing,deleting
1,6160,40207,35.7821,6.1539,8.7788
2,51795,63334,60.5069,6.1808,1131.3
3,60541,74220,69.626,7.4744,1382.94
4,8114,26013,23.4291,2.1877,4.2772
5,200,819,0.8101,0.1726,0.0791
6,200,751,0.6756,0.1647,0.0712
7,8794,10130,9.5962,0.5576,1.1745
8,7537,72833,61.5502,3.4376,19.6801
9,38452,174645,158.202,13.0423,73.3311
10,199,774,0.7672,0.1266,0.0738
11,9877,25973,22.7065,2.0762,5.6407
12,53444,68044,65.4465,6.4472,153.718
13,45307,55440,50.5963,5.0226,651.919
14,25123,31552,27.6798,2.8195,284.864
15,53610,65952,60.4295,6.3163,1238.06
16,153,802,0.8203,0.1183,0.0773
17,23541,51747,53.5569,2.9406,11.4905
18,49212,63601,59.7624,5.9793,1000.61
19,200,884,1.1162,0.2111,0.0855
20,57287,71155,68.1579,7.2805,603.854
21,24765,30242,26.3692,2.2869,212.687
22,12589,33129,30.517,1.6154,7.422
23,27717,133665,119.554,9.3038,54.6474
24,7620,47293,39.6177,2.9833,13.6935
25,23194,28221,25.4429,3.1597,269.868
26,6140,36767,30.5278,1.3147,12.9874
27,65866,81245,77.1264,7.9937,18.7996
28,54991,67000,62.5635,6.5551,255.818
29,13431,21999,20.9435,1.5069,2.5271
30,62853,79557,76.5075,7.8235,1155.18
31,200,813,0.8313,0.1546,0.0878
32,1490,2680,2.307,0.2116,0.248
33,4410,6885,6.0858,0.304,0.7509
34,1490,2680,2.3931,0.214,0.249
35,200,884,0.8249,0.1687,0.0861
36,26300,41500,39.9041,2.3721,11.6319
37,198,824,0.8746,0.3364,0.0764
38,786,14024,11.8606,0.7514,3.3818
39,6795,10620,9.3552,0.4259,1.2018
40,210,625,0.6104,0.1152,0.0539
41,200,1040,0.8832,0.1241,0.0991
42,200,974,0.8266,0.1232,0.0929
43,200,841,0.724,0.1189,0.0769
44,200,1186,0.9874,0.1258,0.149
45,200,1044,0.9302,0.1248,0.1002
46,200,812,0.9601,2.0985,0.1343
47,200,1120,1.115,0.126,0.1215
48,200,1052,0.9185,0.1294,0.1032
49,200,957,0.8451,0.1235,0.0938
50,200,1048,0.9384,0.1241,0.1019
51,200,1135,0.947,0.1306,0.1087
52,200,1019,0.8603,0.1218,0.0983
53,200,1062,0.8921,0.1236,0.1008
54,200,985,0.8336,0.1252,0.093
55,200,958,0.8136,0.1219,0.0928
56,200,1117,0.9329,0.1243,0.1179
57,200,1200,1.2914,2.1791,0.347
58,200,1202,1.8036,0.2115,0.1217
59,200,988,0.8803,0.208,0.0997
60,200,1147,1.0152,0.1793,0.1152
61,200,952,0.8544,0.169,0.0937
62,199,1164,1.0117,0.1732,0.1207
63,200,1040,0.9322,0.174,0.104
64,200,1071,0.9416,0.1708,0.1066
65,200,1037,0.9281,2.5145,0.2937
66,200,884,1.3579,0.1768,0.0861
67,200,1201,1.0704,0.1378,0.1237
68,200,983,0.8556,0.0976,0.0993
69,200,1120,0.982,0.1384,0.1154
70,200,887,0.7836,0.1347,0.0874
71,200,984,0.8555,0.0967,0.0985
72,200,1204,1.0289,0.1428,0.1222
73,200,1107,0.9531,0.1365,0.1129
74,200,820,0.7278,0.1316,0.081
75,26300,41500,41.7455,1.4676,10.0186
76,26300,41500,42.3562,2.0785,8.8549
77,200,988,0.9155,0.1291,0.0956
78,11349,17739,15.8772,0.6246,7.042
79,26300,41500,42.4531,4.2193,15.9707
80,26300,41500,37.4802,1.443,11.5118
81,199,1124,1.8791,0.3279,0.1424
82,200,978,0.971,0.1995,0.0985
83,200,1215,1.0807,0.2751,0.1297
84,13590,21240,19.4314,1.1015,2.6585
85,11470,17408,16.3838,3.0498,2.6531
86,26300,41500,40.6666,4.2553,12.1878
87,13590,21240,20.6811,0.9321,3.2897
88,26300,41500,41.801,2.6335,11.8634
89,57316,77978,77.4479,5.9429,23.8095
