graph,vertices,edges,loading,traversing,deleting
90,11349,17739,15.7711,0.7783,2.483
91,200,1196,1.087,0.2739,0.122
92,450,17794,14.5973,3.4673,6.9171
93,200,1207,1.1196,0.2832,0.1222
94,5960,10720,10.7952,0.7196,1.2472
95,15783,24663,23.0526,4.7622,5.6854
96,26300,41500,40.9156,2.0336,9.0166
97,18096,28281,26.6799,2.2411,4.5124
98,26300,41500,38.9989,2.1663,12.0388
99,26300,41500,39.3563,2.392,11.803
100,26300,41500,40.8882,1.9668,9.1074
101,26300,41500,40.7673,2.7976,9.6457
102,26300,41500,40.0294,1.7738,9.0677
103,15783,24663,24.6155,3.2071,4.4102
104,26300,41500,69.9564,2.0855,8.8564
105,26300,41500,42.4913,1.7071,8.9008
106,2980,5360,5.0268,0.6927,0.6549
107,13590,21240,21.2167,1.1242,9.2167
108,26300,41500,41.858,1.9784,8.9115
109,66992,90970,87.2815,6.9529,29.0657
110,98128,161357,151.214,9.3387,58.7789
111,450,17831,14.2544,0.6609,5.8786
112,18096,28281,27.2859,1.8812,3.7487
113,26300,41500,39.2621,2.0698,11.0653
114,15783,24663,23.6579,1.3577,4.1113
115,18096,28281,28.1479,1.5387,5.9961
116,26300,41500,38.1555,3.7827,17.5164
117,18096,28281,25.4507,1.2256,7.8827
118,26300,41500,41.6086,1.6671,9.4875
119,18096,28281,27.416,1.8279,9.0853
120,70144,116378,116.093,6.8828,48.3652
121,18096,28281,25.3473,1.1071,11.7687
122,26300,41500,40.7839,5.1106,12.2034
123,26300,41500,39.5697,1.6402,9.6925
124,26300,41500,40.4971,2.2614,8.9682
125,26300,41500,41.2137,1.7237,8.8692
126,18096,28281,27.9999,1.8325,7.6776
127,18096,28281,25.6931,1.4828,9.1773
128,26300,41500,39.9748,2.1025,12.3523
129,15783,24663,23.8006,1.1245,3.0828
130,26300,41500,41.0373,1.9483,9.6997
131,2980,5360,4.5767,0.2522,0.5321
132,15783,24663,24.5028,1.4983,6.7702
133,15783,24663,21.896,0.7339,7.2178
134,26300,41500,39.1079,1.5756,9.6574
135,26300,41500,41.7118,2.1942,24.8867
136,18096,28281,74.6028,3.7051,9.2916
137,26300,41500,46.1786,2.0723,24.2516
138,18096,28281,64.9998,2.5042,17.2499
139,18096,28281,52.3843,1.8337,15.3384
140,26300,41500,79.4806,2.0957,16.7074
141,18096,28281,26.2296,1.0662,7.7186
142,2980,5360,4.9419,0.4296,0.6925
143,18096,28281,27.7268,1.6645,9.8338
144,26300,41500,50.8121,1.4312,22.7515
145,18096,28281,75.593,1.9459,7.7276
146,26300,41500,51.804,2.0548,17.593
147,18096,28281,74.3866,2.3313,7.3821
148,26300,41500,47.9137,2.1121,24.7268
149,26300,41500,98.9876,1.9343,9.5115
150,26300,41500,41.6084,1.7578,8.3356
151,15783,24663,24.253,1.5179,8.6998
152,13590,21240,19.4665,0.6878,4.282
153,29076,45570,43.2995,4.9367,10.4979
154,15783,24663,24.0871,1.5506,4.8311
155,26300,41500,42.8329,2.2433,11.8507
156,450,17809,14.2504,0.8859,5.772
157,2980,5360,4.9046,0.3071,0.5475
158,15783,24663,22.2283,0.9331,8.997
159,18096,28281,26.3726,3.7165,5.6836
160,18096,28281,25.3221,1.468,6.0057
161,138141,227241,221.811,17.0023,87.1306
162,50635,83075,78.8381,4.3808,24.1414
163,18096,28281,25.9038,2.3003,9.4469
164,29296,46040,44.7046,3.9974,9.8094
165,18096,28281,29.3356,1.7331,4.8037
166,3278,5896,5.2232,0.2933,0.5913
167,15783,24663,23.0395,2.9311,5.3809
168,2980,5360,5.9793,0.3611,0.5431
169,4768,8576,7.4599,0.84,1.6719
170,15783,24663,24.3168,1.1033,6.2434
171,18096,28281,29.5889,1.7876,7.6437
172,4025,7435,6.7019,0.365,0.7824
173,56860,77264,74.7073,6.1764,22.8149
174,2980,5360,4.5829,0.2606,0.5373
175,3523,6446,5.4139,0.2883,0.6632
176,15783,24663,22.2837,1.3491,10.6828
177,5066,9112,11.2816,0.6474,1.0242
178,18096,28281,26.8489,4.5688,12.3458
179,15783,24663,24.0255,4.4633,4.5182
180,15783,24663,22.9685,0.9289,9.1436
181,18096,28281,29.3901,1.7425,5.1096
182,26300,41500,39.0381,1.8701,9.7441
183,72420,118362,114.929,5.4345,40.0852
184,6290,11560,10.0237,0.5727,1.3196
185,3523,6446,5.7453,0.2971,0.6746
186,26300,41500,41.472,1.6895,11.1673
187,4227,7734,8.0316,0.4917,0.84
188,6660,12240,10.55,0.4869,1.5895
189,7400,13600,11.525,0.4829,2.2592
190,3875,7090,6.3193,0.2946,0.7491
191,4579,8378,9.2323,0.8712,1.021
192,2980,5360,4.7016,0.3992,0.5552
193,7030,12920,13.8836,0.7231,1.5111
194,1150,80851,116.086,4.2448,80.5189
195,1150,81068,121.622,3.8764,83.6265
196,1534,126082,161.568,9.4984,153.176
197,1534,127011,101.743,8.5998,155.999
198,1150,80072,63.6693,5.6774,92.9143
199,1534,126163,158.19,9.7359,197.909
200,1150,80258,99.4887,4.8348,95.6352
