graph,vertices,edges,loading,traversing,deleting
1,6160,40207,35.0748,2.3605,12.859
2,51795,63334,86.3294,5.3626,2486.23
3,60541,74220,64.9741,6.8981,4102.33
4,8114,26013,21.2791,1.4452,5.6063
5,200,819,0.7469,0.1293,0.1361
6,200,751,0.9808,0.1796,0.1418
7,8794,10130,9.3594,0.5672,1.3017
8,7537,72833,60.4855,4.8775,31.7688
9,38452,174645,147.685,12.2468,86.4623
10,199,774,0.7787,0.149,0.1072
11,9877,25973,21.7701,1.5399,21.6507
12,53444,68044,81.1289,6.3719,683.423
13,45307,55440,47.1333,5.1793,1437.85
14,25123,31552,26.6609,2.9491,663.889
15,53610,65952,56.1201,6.4462,2745.11
16,153,802,0.9553,0.1998,0.1785
17,23541,51747,49.4258,3.7415,25.0866
18,49212,63601,81.6034,5.273,2290.02
19,200,884,0.9738,0.1482,0.1326
20,57287,71155,60.2065,6.218,2048.67
21,24765,30242,24.9861,3.9246,543.662
22,12589,33129,29.5437,2.4359,9.971
23,27717,133665,113.204,9.1021,61.6828
24,7620,47293,38.0232,4.0885,19.7063
25,23194,28221,26.3753,2.7184,623.419
26,6140,36767,30.1535,5.9298,11.4717
27,65866,81245,69.9327,7.3438,54.5312
28,54991,67000,84.9848,6.3105,1054.5
29,13431,21999,21.8084,1.1921,3.0157
30,62853,79557,68.9415,6.8122,3414.81
31,200,813,0.7852,0.1197,0.1086
32,1490,2680,2.1458,0.1552,0.3147
33,4410,6885,5.5346,1.4274,1.0875
34,1490,2680,2.1752,0.162,0.3151
35,200,884,0.7834,0.1233,0.1274
36,26300,41500,36.8627,2.8567,7.5323
37,198,824,0.7814,0.119,0.1136
38,786,14024,10.9597,0.5802,7.3674
39,6795,10620,8.8421,0.323,1.6082
40,210,625,0.9422,0.1832,0.09
41,200,1040,1.2961,0.2146,0.1528
42,200,974,0.9234,0.1213,0.1449
43,200,841,0.7145,0.1175,0.1133
44,200,1186,0.9606,0.1253,0.1764
45,200,1044,0.8597,0.1247,0.1532
46,200,812,0.6807,0.1166,0.1076
47,200,1120,0.9126,0.1238,0.167
48,200,1052,0.8626,0.1244,0.1531
49,200,957,0.8204,0.1341,0.1503
50,200,1048,0.9837,4.5797,0.2199
51,200,1135,1.3732,0.1304,0.1687
52,200,1019,0.8513,0.1227,0.1461
53,200,1062,0.871,0.1241,0.1576
54,200,985,0.8148,0.125,0.1393
55,200,958,0.795,0.1205,0.1355
56,200,1117,0.9103,0.1241,0.1618
57,200,1200,0.9756,0.1259,0.179
58,200,1202,0.9892,0.1352,0.1938
59,200,988,1.6944,0.5059,0.2034
60,200,1147,1.2721,0.1345,0.1797
61,200,952,0.8551,0.1212,0.1381
62,199,1164,0.9463,0.1238,0.1785
63,200,1040,0.8564,0.1238,0.1537
64,200,1071,0.8786,0.1226,0.1622
65,200,1037,0.8528,0.1221,0.1539
66,200,884,0.7393,0.1215,0.1274
67,200,1201,1.1204,2.33,0.2539
68,200,983,1.4346,0.2391,0.1569
69,200,1120,1.0657,0.1234,0.1716
70,200,887,0.7692,0.1204,0.1272
71,200,984,0.8419,0.1247,0.1446
72,200,1204,0.9805,0.1273,0.1856
73,200,1107,0.9028,0.1226,0.1697
74,200,820,0.692,0.119,0.1175
75,26300,41500,36.5778,1.3784,8.5038
76,26300,41500,36.6605,5.7073,7.9459
77,200,988,0.9303,0.3156,0.1391
78,11349,17739,17.0131,1.2437,2.459
79,26300,41500,36.8407,1.4114,8.2431
80,26300,41500,36.728,4.9664,8.8516
81,199,1124,0.9992,0.1274,0.1655
82,200,978,0.8114,0.1225,0.1383
83,200,1215,0.9829,0.1267,0.1828
84,13590,21240,18.7062,0.8975,4.2574
85,11470,17408,15.3318,2.7512,3.5461
86,26300,41500,36.9575,1.5601,9.9479
87,13590,21240,17.8075,1.4211,3.5096
88,26300,41500,37.9369,1.761,8.1139
89,57316,77978,67.9092,4.8051,15.6595
90,11349,17739,14.8615,0.5053,2.3691
91,200,1196,1.0058,0.1258,0.2273
92,450,17794,13.9082,0.4815,11.5824
93,200,1207,1.0896,0.1294,0.1818
94,5960,10720,8.8941,0.4455,1.6286
95,15783,24663,22.2963,1.8998,6.8932
96,26300,41500,37.1135,2.1006,9.6072
97,18096,28281,24.4706,4.7311,8.7918
98,26300,41500,37.0975,1.6283,7.7257
99,26300,41500,38.0957,1.5087,14.5913
100,26300,41500,56.3955,1.9307,9.7024
101,26300,41500,36.0992,1.5698,7.7499
102,26300,41500,36.7466,1.4738,9.1275
103,15783,24663,21.7026,0.9685,4.3108
104,26300,41500,37.3734,1.3996,8.7374
105,26300,41500,36.4007,4.8018,8.7117
106,2980,5360,4.3561,0.2325,0.6579
107,13590,21240,18.9916,1.5329,6.8708
108,26300,41500,36.1777,1.6331,8.4929
109,66992,90970,80.1434,5.4202,18.9178
110,98128,161357,139.116,6.5166,42.8961
111,450,17831,14.1383,0.6401,10.7692
112,18096,28281,25.3546,1.4548,5.8546
113,26300,41500,36.136,1.6191,8.3152
114,15783,24663,21.0737,1.6263,4.5894
115,18096,28281,25.4398,1.612,4.4089
116,26300,41500,35.7025,1.7217,8.0255
117,18096,28281,24.9673,1.4404,5.698
118,26300,41500,36.2936,1.4368,8.2443
119,18096,28281,24.6721,3.3061,7.9445
120,70144,116378,100.85,5.1197,33.8621
121,18096,28281,26.298,1.1367,8.4173
122,26300,41500,36.3311,1.5252,9.5809
123,26300,41500,36.6687,1.4602,8.2709
124,26300,41500,37.5012,1.6418,9.12
125,26300,41500,36.3082,1.526,8.3062
126,18096,28281,25.1947,2.0977,9.586
127,18096,28281,24.5568,4.6464,9.7719
128,26300,41500,37.9028,1.5967,7.8912
129,15783,24663,21.9919,0.991,5.1199
130,26300,41500,36.7199,1.4031,8.3471
131,2980,5360,4.5624,0.2361,0.6571
132,15783,24663,21.8832,1.3456,8.2398
133,15783,24663,21.0701,0.9364,6.9084
134,26300,41500,36.8818,1.4009,7.7429
135,26300,41500,36.2657,1.5736,8.33
136,18096,28281,24.4901,3.7004,10.0145
137,26300,41500,38.5878,1.5539,8.3207
138,18096,28281,25.4024,3.0679,4.4329
139,18096,28281,24.2097,1.3925,5.5571
140,26300,41500,38.1179,3.0161,8.3239
141,18096,28281,25.1967,1.5227,8.5471
142,2980,5360,4.5855,0.2351,0.6539
143,18096,28281,25.216,1.446,7.1028
144,26300,41500,35.9087,1.4254,8.2757
145,18096,28281,25.4765,3.6621,4.3817
146,26300,41500,36.0012,1.548,8.1676
147,18096,28281,24.9479,1.3143,5.8946
148,26300,41500,38.039,4.258,8.5377
149,26300,41500,37.0565,1.5972,7.9777
150,26300,41500,37.4206,1.7174,7.9027
151,15783,24663,21.7414,1.2432,3.423
152,13590,21240,18.8011,1.5023,3.0747
153,29076,45570,40.927,2.1213,9.7326
154,15783,24663,21.2538,2.7088,4.9086
155,26300,41500,36.8858,4.2674,7.9647
156,450,17809,15.6366,4.318,11.2724
157,2980,5360,4.6574,0.8684,0.844
158,15783,24663,22.855,1.2668,6.2217
159,18096,28281,26.3169,2.6917,9.5754
160,18096,28281,24.2082,3.5344,6.1839
161,138141,227241,200.369,10.5028,64.5356
162,50635,83075,72.0764,3.1415,18.3406
163,18096,28281,23.779,0.8323,5.064
164,29296,46040,41.8406,2.1106,9.847
165,18096,28281,24.6914,1.0719,8.9287
166,3278,5896,4.9651,0.268,0.7219
167,15783,24663,22.7872,1.1186,3.5511
168,2980,5360,4.4297,0.4472,0.6542
169,4768,8576,6.8484,1.2441,1.3387
170,15783,24663,21.0272,2.5802,4.7656
171,18096,28281,24.5314,1.7142,11.2938
172,4025,7435,6.534,0.5289,1.0634
173,56860,77264,70.7535,5.0204,15.8054
174,2980,5360,4.5532,0.2434,0.652
175,3523,6446,5.276,0.2949,0.8062
176,15783,24663,21.1117,1.0026,6.4404
177,5066,9112,7.9775,3.0785,1.6472
178,18096,28281,25.4687,2.7196,5.7854
179,15783,24663,22.3941,1.1546,8.8838
180,15783,24663,21.802,1.5454,5.0875
181,18096,28281,24.8865,4.5593,4.5298
182,26300,41500,35.003,1.2017,9.1796
183,72420,118362,104.717,3.9609,28.0522
184,6290,11560,9.4112,0.4074,1.5068
185,3523,6446,5.3342,0.2968,0.9485
186,26300,41500,37.0585,1.6257,8.0399
187,4227,7734,6.8291,0.6148,0.9967
188,6660,12240,10.5184,0.6775,1.7018
189,7400,13600,10.9566,0.4307,2.1535
