graph,vertices,edges,loading,traversing,deleting
1,6160,40207,34.9749,47.0557,52.2195
2,51795,63334,193.137,3120.62,3142.46
3,60541,74220,249.259,4254.06,4259.35
4,8114,26013,26.7301,82.3796,84.9539
5,200,819,0.7656,0.1825,0.0577
6,200,751,0.6347,0.1763,0.0556
7,8794,10130,11.0438,95.7108,97.1549
8,7537,72833,56.4834,68.6184,72.3815
9,38452,174645,221.867,1720.9,1767.53
10,199,774,0.7734,0.1739,0.057
11,9877,25973,28.292,118.924,125.691
12,53444,68044,204.056,3313.73,3328.67
13,45307,55440,158.365,2379.26,2389.16
14,25123,31552,63.3698,736.176,740.474
15,53610,65952,207.368,3336.59,3343.85
16,153,802,0.772,0.3111,0.0377
17,23541,51747,81.9978,646.534,674.909
18,49212,63601,170.146,2805.88,2815.8
19,200,884,0.8591,0.1845,0.06
20,57287,71155,236.273,3805.08,3842.41
21,24765,30242,64.4796,715.269,720.604
22,12589,33129,32.8126,192.822,196.503
23,27717,133665,135.032,897.215,926.118
24,7620,47293,36.2335,71.0765,77.2561
25,23194,28221,36.9989,625.202,635.863
26,6140,36767,28.5934,47.8225,49.9385
27,65866,81245,283.304,5044.41,5058.87
28,54991,67000,201.021,3503.72,3520.63
29,13431,21999,31.314,214.89,222.964
30,62853,79557,266.648,4578.44,4587.22
31,200,813,0.8053,0.247,0.06
32,1490,2680,2.2669,3.0132,2.7971
33,4410,6885,6.2629,25.0221,27.0999
34,1490,2680,2.3604,2.7789,2.6823
35,200,884,0.9317,0.2433,0.0799
36,26300,41500,63.6311,804.048,825.864
37,198,824,0.8135,0.1905,0.0604
38,786,14024,9.5543,1.094,0.8496
39,6795,10620,9.3212,60.3181,59.2135
40,210,625,0.6048,0.4082,0.0674
41,200,1040,0.9631,0.4305,0.0731
42,200,974,0.9414,0.4151,0.0698
43,200,841,0.8743,0.4593,0.0736
44,200,1186,1.1825,0.4658,0.0802
45,200,1044,1.1037,0.3894,0.0907
46,200,812,0.8799,0.3892,0.0661
47,200,1120,1.1655,0.4034,0.0591
48,200,1052,0.9189,0.4295,0.0837
49,200,957,0.9542,0.4286,0.0722
50,200,1048,1.1042,0.3747,0.0585
51,200,1135,1.0311,2.1803,0.0605
52,200,1019,0.787,0.3608,0.0582
53,200,1062,0.9417,0.4143,0.0705
54,200,985,0.9092,0.3061,0.0653
55,200,958,0.919,0.4169,0.0632
56,200,1117,0.9734,0.4102,0.0689
57,200,1200,1.1117,0.4067,0.0674
58,200,1202,1.2069,0.4011,0.0653
59,200,988,0.9837,0.4373,0.0937
60,200,1147,1.3069,0.4048,0.0597
61,200,952,0.8959,0.4331,0.0672
62,199,1164,1.0521,0.4229,0.071
63,200,1040,0.9958,0.4865,0.0696
64,200,1071,1.1674,0.412,0.0587
65,200,1037,1.1541,0.455,0.0641
66,200,884,0.9644,0.427,0.057
67,200,1201,0.9894,2.1246,0.0637
68,200,983,0.8625,0.4027,0.0615
69,200,1120,0.8896,0.3866,0.0626
70,200,887,0.9141,0.4146,0.0624
71,200,984,0.9408,0.4389,0.0861
72,200,1204,1.1599,0.4671,0.0702
73,200,1107,1.1644,0.4232,0.0711
74,200,820,0.8741,0.4219,0.066
75,26300,41500,61.7362,804.17,827.154
76,26300,41500,55.3541,803.503,826.852
77,200,988,0.8996,0.1823,0.0576
78,11349,17739,17.3938,155.645,158.676
79,26300,41500,53.9331,804.979,826.388
80,26300,41500,54.3949,804.359,829.559
81,199,1124,0.9483,0.184,0.0581
82,200,978,0.7377,0.1795,0.0574
83,200,1215,0.9257,0.1829,0.0594
84,13590,21240,21.4334,220.311,225.685
85,11470,17408,17.4549,161.679,162.187
86,26300,41500,54.6071,805.84,825.78
87,13590,21240,22.0638,220.799,275.157
88,26300,41500,57.073,806.596,864.16
89,57316,77978,253.273,4080.67,3916.24
90,11349,17739,23.9454,157.641,166.968
91,200,1196,1.0948,0.2067,0.0612
92,450,17794,12.0986,0.7397,0.3994
93,200,1207,0.9445,0.1792,0.0592
94,5960,10720,9.709,48.5977,46.0147
95,15783,24663,34.2446,298.36,358.35
96,26300,41500,69.1996,822.13,842.865
97,18096,28281,30.7143,392.796,402.974
98,26300,41500,55.8039,810.392,826.993
99,26300,41500,53.8672,805.32,829.031
100,26300,41500,53.545,804.824,856.788
101,26300,41500,56.6468,804.961,831.078
102,26300,41500,53.9717,803.236,842.324
103,15783,24663,25.4015,292.48,307.997
104,26300,41500,55.5814,802.408,830.999
105,26300,41500,53.555,805.41,828.455
106,2980,5360,4.3664,10.9795,10.5471
107,13590,21240,22.4375,217.78,226.868
108,26300,41500,55.627,805.105,886.158
109,66992,90970,319.244,5211.71,5284.93
110,98128,161357,643.22,11231.1,11302.2
111,450,17831,13.1763,0.772,0.4238
112,18096,28281,36.9272,416.748,524.375
113,26300,41500,51.6382,839.117,905.998
114,15783,24663,28.8201,308.196,312.904
115,18096,28281,44.6089,402.149,416.999
116,26300,41500,79.8799,822.038,880.737
117,18096,28281,36.3187,413.887,432.887
118,26300,41500,49.9066,825.049,854.312
119,18096,28281,34.1437,405.486,410.901
120,70144,116378,355.637,6251.11,5980.85
121,18096,28281,33.2912,392.148,409.703
122,26300,41500,91.3315,848.236,900.761
123,26300,41500,54.6514,876.866,875.217
124,26300,41500,50.7868,860.649,863.445
125,26300,41500,50.2363,830.038,920.717
126,18096,28281,33.335,465.919,439.551
127,18096,28281,33.2998,397.759,420.441
128,26300,41500,52.5321,829.4,905.532
129,15783,24663,30.7523,307.778,322.45
130,26300,41500,53.87,819.458,844.321
131,2980,5360,4.5769,10.9947,10.7904
132,15783,24663,28.3906,295.214,305.731
133,15783,24663,25.7199,296.791,308.274
134,26300,41500,50.0701,806.779,830.252
135,26300,41500,49.4711,815.187,831.016
136,18096,28281,30.2843,386.348,398.212
137,26300,41500,52.8104,807.406,829.997
138,18096,28281,32.4799,385.81,429.056
139,18096,28281,42.6433,463.299,401.274
140,26300,41500,49.3628,807.48,830.504
141,18096,28281,31.4816,383.942,400.877
142,2980,5360,4.8652,11.9722,12.1595
143,18096,28281,36.9938,385.085,396.383
144,26300,41500,47.5765,804.476,833.134
145,18096,28281,30.3457,385.352,395.908
146,26300,41500,47.6172,806.672,828.318
147,18096,28281,30.3212,385.5,415.046
148,26300,41500,49.4936,810.394,839.257
149,26300,41500,49.3581,806.773,831.469
150,26300,41500,50.1638,808.509,830.515
151,15783,24663,27.8558,315.887,305.816
152,13590,21240,21.3505,220.987,229.293
153,29076,45570,55.8486,981.962,1007.62
154,15783,24663,25.4395,293.711,303.143
155,26300,41500,51.7452,803.542,829.662
156,450,17809,12.386,0.6832,0.3994
157,2980,5360,4.9055,11.3182,11.1663
158,15783,24663,31.1127,295.026,303.082
159,18096,28281,30.2408,383.574,402.853
160,18096,28281,30.0016,385.178,399.306
161,138141,227241,1253.64,22319.7,22353.9
162,50635,83075,230.381,3178.28,3010.22
163,18096,28281,33.1398,385.074,396.957
164,29296,46040,65.5733,997.999,1033.62
165,18096,28281,31.5479,413.195,397.652
166,3278,5896,5.1528,13.4578,13.7093
167,15783,24663,30.9722,319.02,303.702
168,2980,5360,4.6607,11.3566,11.8359
169,4768,8576,8.5636,31.2438,29.3969
170,15783,24663,27.4902,293.265,320.358
171,18096,28281,30.0451,385.722,397.196
172,4025,7435,6.2796,22.355,22.9883
173,56860,77264,219.856,3764.86,3792.18
174,2980,5360,5.1713,12.2611,11.2974
175,3523,6446,5.6143,16.3491,18.1343
176,15783,24663,30.1273,293.721,305.206
177,5066,9112,7.876,33.975,36.2608
178,18096,28281,30.4753,391.512,414.299
179,15783,24663,25.1211,293.381,304.489
180,15783,24663,25.4785,295.871,303.334
181,18096,28281,30.4203,399.198,420.349
182,26300,41500,48.2322,804.783,832.365
183,72420,118362,353.114,6086.36,6132.59
184,6290,11560,11.4808,52.456,52.4423
185,3523,6446,5.3884,15.3298,15.8663
186,26300,41500,80.5364,807.571,827.15
187,4227,7734,6.5865,23.0933,24.4144
188,6660,12240,13.4521,57.7739,57.3235
189,7400,13600,12.1383,69.4414,69.5226
190,3875,7090,5.9055,18.5757,20.4731
191,4579,8378,6.8708,27.7565,29.2706
192,2980,5360,4.4971,12.2015,11.1019
193,7030,12920,11.7361,65.1631,65.8771
194,1150,80851,55.426,3.7677,2.5718
195,1150,81068,95.9656,3.4106,2.3738
196,1534,126082,89.1446,5.388,4.2703
197,1534,127011,88.9149,5.392,3.9533
198,1150,80072,55.2765,3.2732,2.3646
199,1534,126163,87.6642,5.3172,4.0429
200,1150,80258,55.7319,3.2676,2.3817
